"Facility ID","Facility Name","Address","City/Town","State","ZIP Code","County/Parish","Telephone Number","Measure ID","Measure Name","Score","Footnote","Start Date","End Date"
260779,PARKLAND HEALTH CENTER - BONNE TERRE,7245 RAIDER ROAD,BONNE TERRE,MO,63628,ST. FRANCOIS,(573) 358-1400,REH_OP_10,Abdomen CT Use of Contrast Material,0.9,,01/01/2024,12/31/2024
280779,FRIEND COMMUNITY HEALTHCARE SYSTEM,905 SECOND STREET,FRIEND,NE,68359,SALINE,(402) 947-2541,REH_OP_10,Abdomen CT Use of Contrast Material,Not Available,1,01/01/2024,12/31/2024
320779,GUADALUPE COUNTY HOSPITAL,"117 CAMINO DE VIDA, SUITE 100",SANTA ROSA,NM,88435,GUADALUPE,(575) 472-3417,REH_OP_10,Abdomen CT Use of Contrast Material,1.9,,01/01/2024,12/31/2024
330799,CLIFTON-FINE HOSPITAL,1014 OSWEGATCHIE TRAIL,STAR LAKE,NY,13690,ST. LAWRENCE,(315) 848-4205,REH_OP_10,Abdomen CT Use of Contrast Material,Not Available,1,01/01/2024,12/31/2024
370779,STILLWATER MEDICAL - PERRY,501 N 14TH ST,PERRY,OK,73077,NOBLE,(580) 336-3541,REH_OP_10,Abdomen CT Use of Contrast Material,Not Available,1,01/01/2024,12/31/2024
370780,STILLWATER MEDICAL-BLACKWELL,710 S 13TH STREET,BLACKWELL,OK,74631,KAY,(580) 363-2311,REH_OP_10,Abdomen CT Use of Contrast Material,4.7,,01/01/2024,12/31/2024
370781,HARPER COUNTY COMMUNITY HOSPITAL,1003 US HIGHWAY 64 NORTH,BUFFALO,OK,73834,HARPER,(580) 735-2555,REH_OP_10,Abdomen CT Use of Contrast Material,7.7,,01/01/2024,12/31/2024
370783,ELKVIEW GENERAL HOSPITAL,429 WEST ELM STREET,HOBART,OK,73651,KIOWA,(580) 726-3324,REH_OP_10,Abdomen CT Use of Contrast Material,Not Available,1,01/01/2024,12/31/2024
440779,TRISTAR ASHLAND CITY MEDICAL CENTER,313 NORTH MAIN ST,ASHLAND CITY,TN,37015,CHEATHAM,(615) 792-3030,REH_OP_10,Abdomen CT Use of Contrast Material,4.3,,01/01/2024,12/31/2024
440780,WAYNE MEDICAL CENTER,103 J V MANGUBAT DR,WAYNESBORO,TN,38485,WAYNE,(931) 722-5411,REH_OP_10,Abdomen CT Use of Contrast Material,Not Available,1,01/01/2024,12/31/2024
670779,CROSBYTON CLINIC HOSPITAL,710 WEST MAIN STREET,CROSBYTON,TX,79322,CROSBY,(806) 675-2382,REH_OP_10,Abdomen CT Use of Contrast Material,Not Available,7,01/01/2024,12/31/2024
670780,FALLS COMMUNITY HOSPITAL AND CLINIC,322 COLEMAN STREET,MARLIN,TX,76661,FALLS,(254) 803-3561,REH_OP_10,Abdomen CT Use of Contrast Material,Not Available,1,01/01/2024,12/31/2024
670781,ANSON GENERAL HOSPITAL,101 AVENUE J,ANSON,TX,79501,JONES,(325) 823-3231,REH_OP_10,Abdomen CT Use of Contrast Material,Not Available,1,01/01/2024,12/31/2024
670783,CHI ST LUKES HEALTH MEMORIAL SAN AUGUSTINE,511 HOSPITAL ST,SAN AUGUSTINE,TX,75972,SAN AUGUSTINE,(936) 275-3446,REH_OP_10,Abdomen CT Use of Contrast Material,13,,01/01/2024,12/31/2024
